,EDA_mean,EDA_std,EDA_min,EDA_max,EDA_phasic_mean,EDA_phasic_std,EDA_phasic_min,EDA_phasic_max,EDA_smna_mean,EDA_smna_std,EDA_smna_min,EDA_smna_max,EDA_tonic_mean,EDA_tonic_std,EDA_tonic_min,EDA_tonic_max,BVP_mean,BVP_std,BVP_min,BVP_max,TEMP_mean,TEMP_std,TEMP_min,TEMP_max,ACC_x_mean,ACC_x_std,ACC_x_min,ACC_x_max,ACC_y_mean,ACC_y_std,ACC_y_min,ACC_y_max,ACC_z_mean,ACC_z_std,ACC_z_min,ACC_z_max,Resp_mean,Resp_std,Resp_min,Resp_max,net_acc_mean,net_acc_std,net_acc_min,net_acc_max,BVP_peak_freq,TEMP_slope,0,1,2
0,0.20890277307133195,0.006482947906543524,0.19790037982257053,0.22481422524759093,0.003573600419028737,0.005335256642001004,4.4043996233446634e-05,0.021846721096284893,0.0018167076379518063,0.009226496164368672,1.5998807682132687e-07,0.07931110910428887,-0.38976126974886904,0.00646108236674181,-0.40254710223364065,-0.38240361284590263,0.4146636517806665,80.2026418430924,-357.28,327.54,32.71218181818182,0.06282905040381949,32.61,32.81,-2.4186552639462138e-05,7.548488564512764e-06,-7.06223370215839e-05,8.827792127697988e-06,0.01073126237275202,0.019189558625008485,-0.024797985460652275,0.04885044043024878,-2.075323925518874e-05,6.476970551760012e-06,-6.05974021522274e-05,7.574675269028425e-06,-0.030162259681083048,0.009413473498122429,-0.08807080944038784,0.01100885118004848,0.018987088355921902,0.011073070252982327,5.431418461266541e-05,0.04885044045188779,0.16732617297908423,0.0018556003877105121,False,True,False
0,0.19462254592723746,0.0035617235271335358,0.18850587179533587,0.20598723970791377,0.0021016391257130604,0.0021542504174177084,5.072864353142216e-06,0.009086812404318878,0.0009493747551636265,0.005086549782588828,1.3270803522758e-07,0.04378596799152738,-0.40881102583425927,0.0024813061595736533,-0.4141251173089775,-0.40279173839875626,-1.6281052036199097,68.81068791172072,-467.49,160.9,32.824684684684684,0.011186015605519644,32.81,32.84,-2.8934986074666197e-05,8.215372182413942e-06,-4.138027559858432e-05,-7.172581103754615e-06,-0.01618717675465803,0.011798893114489376,-0.044047434851141,0.036454121062355335,-2.4827626235305272e-05,7.0491891512427685e-06,-3.550629032357074e-05,-6.154423656085595e-06,-0.03608387589840551,0.010245122272548299,-0.05160398990647725,-0.00894469158378939,0.01731959579611034,0.010061251045036962,5.431418461266541e-05,0.044047436795024576,0.13574660633484165,0.00014364689364688594,False,True,False
0,0.18374745617982227,0.0032767395194176724,0.17747014341374323,0.19040069352128786,0.0005294017252654129,0.0005812735706134102,2.680744967091739e-06,0.001965904986598467,0.0004088710088910275,0.002064709425558524,1.1987479852162974e-07,0.017295774091286773,-0.4231767073171094,0.00402517227780831,-0.4269750861949189,-0.4143207751366641,1.1903789592760181,48.24483162378666,-156.03,219.12,32.88336363636364,0.02164251985223975,32.84,32.93,-2.6031501277009876e-05,7.799845964024182e-06,-3.586290551877307e-05,-1.3793425199528107e-05,-0.02544435756716294,0.013488591726669661,-0.041308588868292306,-0.006921969105236921,-2.2336294974592584e-05,6.6926474333885e-06,-3.0772118280427976e-05,-1.1835430107856916e-05,-0.03246303485700382,0.009726933099820905,-0.04472345791894695,-0.01720132996882575,0.02544441140028886,0.013488537640362798,0.006922115860941215,0.04130859810617957,0.12217194570135748,0.0005817009670220496,False,True,False
0,0.17829557727374895,0.0017028679486074012,0.1754316852132494,0.1819071763412205,5.8790830534383195e-05,0.0001613575230777013,4.357128248842316e-07,0.000636948261279472,6.314659890780647e-05,0.0006515486683841295,2.8749138315490875e-07,0.006865658562895287,-0.43067479765032673,0.002222057458431035,-0.4347933019472171,-0.426992569909355,-1.2194460146975694,40.96495973451448,-106.65,119.13,32.89666666666666,0.012160542252661128,32.87,32.91,-1.846791569200547e-05,1.3227028139722615e-06,-2.2621217327226096e-05,-1.6000373231452603e-05,-0.03765149499828532,0.0011766484027884458,-0.039927135745920876,-0.03305261882386412,-1.5846370444521823e-05,1.134943386561442e-06,-1.941010537688534e-05,-1.372909892511402e-05,-0.023030734357809047,0.001649499469835063,-0.02821018114887423,-0.01995354276383787,0.037651502944286645,0.0011766470618114924,0.03305263098485972,0.03992714170281928,0.13114754098360654,-0.00014759564759563593,False,True,False
0,0.17067238536895837,0.0024021909917250586,0.16617900816975223,0.17738332509269752,0.0003398684248612257,0.0004378727570003166,2.1214984530784244e-06,0.0016187088478024471,0.00024194886118897378,0.001609195650368789,1.518152242055437e-07,0.012705223476489134,-0.4418826058321349,0.003237837603702927,-0.44597447234860416,-0.4349199416865806,-0.1867081447963801,39.67700412711802,-114.8,103.91,32.89727272727273,0.014520412137419256,32.87,32.93,-1.7967652698824214e-05,1.2295500094027922e-06,-2.2621217327226096e-05,-1.3793425199528107e-05,-0.03802347235898865,0.0010072715620905333,-0.041991963682788146,-0.03305261882386412,-1.5417120449999314e-05,1.0550137467595367e-06,-1.941010537688534e-05,-1.1835430107856916e-05,-0.022406872721382608,0.0015333316503310433,-0.02821018114887423,-0.01720132996882575,0.03802347979187697,0.001007270517258414,0.03305263098485972,0.04199196973066646,0.13574660633484165,0.0001976421792935489,False,True,False
0,0.16303121782637336,0.002354980919225173,0.15916016138274813,0.16817842841071157,1.5866805421543045e-06,1.5776651095682112e-06,5.021613513982152e-07,9.448557911740698e-06,7.118726520035041e-07,5.74591314313093e-07,2.681969791580669e-07,3.942467143456679e-06,-0.4526383054919967,0.003228377941599455,-0.4574487890096597,-0.44611007649206724,0.011876766534765078,37.59491012026586,-106.34,71.99,32.89792792792793,0.011210151010019992,32.89,32.93,-1.7812866750883805e-05,1.1772632554235156e-06,-2.1517743311263846e-05,-1.434516220750923e-05,-0.03812758251754305,0.0008591674933048725,-0.040614520604065736,-0.0344260518589375,-1.528430657367585e-05,1.0101491671981375e-06,-1.8463270968256787e-05,-1.230884731217119e-05,-0.022213844222184927,0.0014681265475240102,-0.02683407475136817,-0.01788938316757878,0.038127589795194504,0.0008591665339138259,0.034426061262549094,0.040614526076247416,0.12210288298473713,0.00015970515970513852,False,True,False
0,0.15739508039308225,0.0016574525554216824,0.1520332645041194,0.16091791391870164,0.0001325865739467633,0.0002662944726917878,4.686570701548611e-07,0.0010226853316861997,0.00010232552766161151,0.0009889775815292462,1.6708006035735107e-07,0.010350442964143324,-0.460940250043202,0.0019152090981366255,-0.4631223284813417,-0.45750696385707607,0.2841968325791858,39.77280520644139,-131.64,86.64,32.89090909090909,0.011616616898081269,32.87,32.91,-1.678304088757062e-05,9.41120621369312e-07,-2.2621217327226096e-05,-1.2689951183565858e-05,-0.0389241342898489,0.000736970267293677,-0.04130391048403511,-0.03373866700079264,-1.4400665864265721e-05,8.075272947911758e-07,-1.941010537688534e-05,-1.088859569922836e-05,-0.020929582029942283,0.0011736407827980025,-0.02821018114887423,-0.01582522357131969,0.03892414060508894,0.0007369695576185315,0.033738677152121296,0.04130391663266082,0.12669683257918554,-6.518945968488006e-05,False,True,False
0,0.1540450717286901,0.001925636763967568,0.1474143227288407,0.15715773885312037,2.7728854169454232e-06,3.2909829610298264e-06,4.6652319897962805e-07,1.3305849879641078e-05,1.7865858730334018e-06,8.014153956467048e-06,1.959248637346107e-07,7.686832661084057e-05,-0.4656612867124336,0.0021822339737796654,-0.46948858632714285,-0.4620663855518455,0.15332956472583367,36.62654786073974,-113.91,69.53,32.89126126126126,0.01184115451351465,32.87,32.91,-1.779647980771658e-05,1.1839094840800839e-06,-2.04142692953016e-05,-1.4896899215490354e-05,-0.03808217265079711,0.0009334602368904471,-0.04061652562589025,-0.035801489915835386,-1.5270245778932587e-05,1.0158519548384649e-06,-1.7516436559628233e-05,-1.2782264516485466e-05,-0.022193408600682477,0.0014764148421655624,-0.02545796835386211,-0.018577436366331808,0.03808217992693331,0.0009334592414773543,0.03580149844885127,0.04061653228847924,0.12210288298473713,-8.073008073007015e-05,False,True,False
0,0.149129074561366,0.0015743840969783408,0.14444230550054324,0.15253190838960232,1.2012411944057451e-05,2.239299883017395e-05,5.118453095981024e-07,8.709037797611992e-05,9.310849922073808e-06,8.742013747781941e-05,2.6379632646500873e-07,0.0009176652964390915,-0.472867704500218,0.0017705123363986309,-0.4755165160851868,-0.46958089535137015,-0.22945135746606332,35.578925271400784,-118.22,61.85,32.89581818181818,0.01308979700586241,32.87,32.91,-1.8390817508112907e-05,6.766857834608786e-07,-2.04142692953016e-05,-1.6552110239433728e-05,-0.03763792795667059,0.0005975800565548334,-0.03924175590960054,-0.035801489915835386,-1.5780216450593297e-05,5.806293345764199e-07,-1.7516436559628233e-05,-1.4202516129428297e-05,-0.02293458773128595,0.0008438727348825704,-0.02545796835386211,-0.020641595962590898,0.0376379357776943,0.0005975794678667118,0.03580149844885127,0.03924176369453985,0.12217194570135748,4.327930933432686e-05,False,True,False
0,0.14554340304624883,0.0016740769022458928,0.14113794205167632,0.14901226563678313,7.801130358773787e-05,0.00016283570677409211,6.025858409239995e-07,0.0006250042385600432,6.336117147237384e-05,0.0006423296407101197,2.2365152747838568e-07,0.006768494424527168,-0.478152981248155,0.0021607447023825744,-0.4815795357947459,-0.475526370271815,0.167850678733032,33.029402281485524,-80.09,64.38,32.90009009009009,0.010044944046676454,32.89,32.91,-1.8544355182279598e-05,3.965507886069633e-07,-2.0966006303282724e-05,-1.7655584255395975e-05,-0.0375143577679691,0.00047018378419036867,-0.03924175590960054,-0.033739335341400806,-1.591195924726899e-05,3.402598756205839e-07,-1.7989853763942512e-05,-1.514935053805685e-05,-0.02312605954903849,0.0004945255341262018,-0.02614602155261514,-0.02201770236009696,0.03751436573391903,0.00047018344481382466,0.03373934606431248,0.03924176369453985,0.12217194570135748,-3.15900315900253e-05,False,True,False
